,time,dust,sia,pm2p5,pans,nmvoc,nh3,pm10
0,2018-01-01,0.030063465,3.381425,6.105768,0.41578773,2.5010526,0.019445216,7.9821677
1,2018-01-02,0.02657195,3.2102242,6.939308,0.68724966,2.49956,0.06020823,9.702512
2,2018-01-03,0.025862714,3.67433,5.544271,0.7049052,4.8280425,0.01164865,7.225303
3,2018-01-04,0.0041023293,4.468946,7.439943,0.66699725,5.975699,0.009394116,11.326512
4,2018-01-05,0.002066613,3.771138,7.6293464,0.6258305,4.873141,0.024956338,12.943883
5,2018-01-06,0.0050215623,3.3102782,5.466951,0.62984294,5.346727,0.01809522,8.479076
6,2018-01-07,0.017925417,0.6347508,2.0364296,0.8478772,2.4783335,0.084634215,3.6363924
7,2018-01-08,0.026237672,0.47186914,2.1228054,0.858735,0.98417467,0.09029627,4.8961015
8,2018-01-09,0.028225334,0.6326628,2.7206964,0.74840885,1.2087533,0.06859233,5.969711
9,2018-01-10,0.011755469,0.35302272,1.7055454,0.7051072,1.1643281,0.14794844,3.0859556
10,2018-01-11,0.015605741,1.4057223,3.9821842,0.7519331,1.7026091,0.12634262,6.797342
11,2018-01-12,0.01828616,1.744556,3.3878822,0.82493705,3.0942447,0.07920814,4.7017803
12,2018-01-13,0.06332906,3.1629465,5.757913,0.9398739,3.0195072,0.08241929,7.218827
13,2018-01-14,0.32803747,3.8614852,6.6371913,1.1397852,3.3501885,0.061082285,7.8913007
14,2018-01-15,0.23242922,3.8249547,6.321696,1.1829551,3.1139023,0.14647931,7.298229
15,2018-01-16,0.18145825,4.0154824,6.6155725,1.1444069,3.0500553,0.13463806,7.296724
16,2018-01-17,0.046389874,2.4633782,5.2504997,1.1942652,5.6444206,0.07994423,5.916373
17,2018-01-18,0.0026103829,3.8308585,8.1799135,0.7793285,5.106244,0.022305923,10.724095
18,2018-01-19,0.0025241843,3.4181767,6.2994995,0.820731,5.9075394,0.06263159,8.433566
19,2018-01-20,0.00476485,2.1768134,5.441404,0.9572952,6.2108326,0.06804012,6.584413
20,2018-01-21,0.005659919,1.4288464,4.2003274,1.106757,4.21724,0.09298108,5.783074
21,2018-01-22,0.018998522,1.4789181,4.9716344,1.1119467,2.8373194,0.06727622,6.5810943
22,2018-01-23,0.0098516485,2.2836802,7.882366,1.2985473,1.9968715,0.036304448,10.003852
23,2018-01-24,0.0054443968,6.5106087,11.821266,1.0604845,6.048439,0.008332823,15.34407
24,2018-01-25,0.0542654,7.7962575,12.766895,0.4543676,6.6919866,0.00880671,17.466724
25,2018-01-26,0.055711463,9.198531,15.096744,1.1391653,7.1980186,0.022079604,17.874033
26,2018-01-27,0.021269718,7.0504355,14.595162,0.96804357,8.17964,0.009761351,19.403515
27,2018-01-28,0.005746447,3.2295802,7.1664677,0.72195405,4.611507,0.012373965,9.865168
28,2018-01-29,0.0031423494,0.60909516,2.824707,0.5593683,1.5677501,0.025373451,9.817799
29,2018-01-30,0.0016667271,0.75827074,2.0155642,0.77867156,4.199517,0.05010948,3.2338183
30,2018-01-31,0.0032382247,1.5452758,3.7352295,0.82290506,2.9932501,0.091766775,6.1844387
31,2018-02-01,0.019210344,4.148006,7.2236533,0.79044884,7.564094,0.00900454,8.965693
32,2018-02-02,0.0026533287,1.9781561,4.901084,0.7974828,3.63363,0.07177362,6.6974664
33,2018-02-03,0.0013027791,2.716017,5.7349873,0.8559149,2.3796375,0.14030686,8.152025
34,2018-02-04,0.015618838,1.2854859,3.690177,1.0645173,3.7331145,0.08004887,4.935623
35,2018-02-05,0.09372602,1.0372485,2.681733,1.2180825,0.93270403,0.2188166,3.7784255
36,2018-02-06,0.07225714,1.2884376,3.4921331,1.0989405,1.7559692,0.22371072,4.3213162
37,2018-02-07,0.058752865,6.967117,10.445643,1.3851358,3.6514027,0.38431427,11.818532
38,2018-02-08,0.059637193,5.3494186,9.968083,2.0889707,6.9138618,0.14216658,10.883194
39,2018-02-09,0.2386315,5.2911887,9.550662,2.2047598,6.231636,0.06761714,11.058774
40,2018-02-10,1.1843477,3.3782833,8.092776,1.8528973,3.9392126,0.10111001,9.669623
41,2018-02-11,0.90858465,5.1728573,9.776818,2.0218985,4.9462876,0.29349756,11.339345
42,2018-02-12,0.7847412,4.3962817,10.7518425,2.2408872,3.79153,0.14588667,12.793317
43,2018-02-13,0.40648416,10.071513,18.210947,2.2383015,8.401648,0.21481486,20.251827
44,2018-02-14,0.79233044,4.956837,9.877724,1.7742411,3.8197994,0.13544519,10.903178
45,2018-02-15,0.2348249,3.537757,7.159309,1.9902083,4.1479096,0.27679387,7.8563957
46,2018-02-16,0.31244648,7.3581905,14.144561,2.602904,7.1469884,0.06429982,15.608706
47,2018-02-17,0.044485908,3.838668,8.986822,1.4359869,7.3904433,0.09205943,11.582259
