,time,absorbing_aerosol_index,cloud_fraction,cloud_top_pressure,cloud_top_height,cloud_base_pressure,cloud_base_height,cloud_optical_depth,NO2_column_number_density,tropospheric_NO2_column_number_density,stratospheric_NO2_column_number_density,NO2_slant_column_number_density,tropopause_pressure,O3_column_number_density,O3_effective_temperature,CO_column_number_density,H2O_column_number_density
0,2018-06-28,,,,,,,,8.773892e-05,2.130636e-05,6.6435154e-05,0.00017399584,16689.959,,,,
1,2018-06-29,,,,,,,,8.168524e-05,1.2304252e-05,6.571578e-05,0.00019946788,16677.684,,,,
2,2018-06-30,,,,,,,,7.841823e-05,6.9370344e-06,6.326159e-05,0.0001558974,19222.316,,,,
3,2018-07-01,,,,,,,,7.519686e-05,,6.273767e-05,0.000190605,19223.482,,,,
4,2018-07-02,,,,,,,,7.5333315e-05,,6.183662e-05,0.00019331291,22057.926,,,,
5,2018-07-03,,,,,,,,7.926575e-05,9.099325e-06,6.5720575e-05,0.00019637926,22067.76,,,,
6,2018-07-04,-0.62123483,,,,,,,7.699571e-05,,6.164219e-05,0.00020328772,19219.67,,,,
7,2018-07-05,-0.65917987,,,,,,,7.192521e-05,1.0687656e-05,6.535854e-05,0.00014639742,19219.45,,,0.027964376,1824.4277
8,2018-07-06,-1.0102344,,,,,,,7.921198e-05,1.0063133e-05,6.705435e-05,0.00019830138,19218.373,,,0.029049616,1257.0642
9,2018-07-07,-1.1754774,,,,,,,8.2865634e-05,1.7467046e-05,6.8859765e-05,0.00019367624,19223.537,,,0.02892814,1455.858
10,2018-07-08,-1.260407,,,,,,,7.726424e-05,5.7307716e-06,7.309598e-05,0.00019897663,19230.297,,,0.028052911,1655.6798
11,2018-07-09,-1.0084875,,,,,,,8.3638806e-05,2.8549604e-05,6.390427e-05,0.00020541216,19230.107,,,0.026623838,1335.2261
12,2018-07-10,-0.935808,,,,,,,7.514547e-05,,6.572146e-05,0.00014954779,19235.164,,,,
13,2018-07-11,-0.9514445,,,,,,,8.531497e-05,9.539049e-06,6.490071e-05,0.00020151332,19236.207,,,,
14,2018-07-12,-0.88014984,0.831764,48190.758,5878.782,55115.94,4864.885,41.43751,6.64238e-05,,6.4240725e-05,0.00017570531,16681.79,,,,
15,2018-07-13,-1.2595739,0.40862405,62755.344,4347.8906,69661.48,3508.972,17.249645,9.062304e-05,2.9687038e-05,6.0623577e-05,0.00020486211,19223.746,,,0.02739701,2092.2654
16,2018-07-14,-1.2141227,0.3646319,74771.734,2524.9607,83038.95,1696.2344,7.026907,8.436423e-05,1.6996039e-05,6.5112516e-05,0.0002075942,19219.334,,,0.02811987,2178.9436
17,2018-07-15,-0.76247597,0.6140173,39822.152,7273.7295,45755.625,6267.969,24.180923,7.8587604e-05,,6.294364e-05,0.00020318356,19222.883,,,,
18,2018-07-16,-1.0985203,0.87520784,62622.777,3767.8127,71186.25,2750.4182,15.757022,9.014908e-05,,5.7137353e-05,0.00014914399,16677.404,,,,
19,2018-07-17,-0.7708744,0.6204214,52811.86,5116.6406,60266.445,4090.835,26.078127,7.7394274e-05,,6.201879e-05,0.00018329863,16673.053,,,0.034923874,2747.9875
20,2018-07-18,-1.3234118,0.14234911,87956.83,1050.1436,95287.01,447.1949,5.721032,7.984217e-05,9.23688e-06,6.746236e-05,0.00019518458,16663.484,,,0.031793147,2118.9463
21,2018-07-19,-0.93810564,0.982631,88283.53,950.37244,97543.83,244.67447,30.771364,6.9443e-05,,6.372007e-05,0.0001805659,17928.254,,,0.029494746,2269.3027
22,2018-07-20,-1.438066,0.14057828,80892.766,2047.7809,87366.17,1467.6356,5.468921,7.973031e-05,1.2061953e-05,6.4803564e-05,0.0002015148,16673.79,,,0.030352455,2198.6694
23,2018-07-21,-1.662382,0.089213125,91266.92,742.8248,97699.125,270.7553,4.860308,8.785648e-05,2.4083143e-05,6.4138076e-05,0.00016730526,16676.031,,,0.029761942,1961.5753
24,2018-07-22,-1.124562,0.20330115,21403.326,11561.513,24947.943,10562.143,12.622448,7.7301695e-05,1.508727e-05,6.475033e-05,0.0001939832,16676.938,,,,
25,2018-07-23,-0.6923158,0.80639625,43448.57,6669.0146,49820.91,5645.99,37.470192,6.673095e-05,,6.155603e-05,0.00017215923,16677.082,,,,
26,2018-07-24,-1.724667,0.26430395,87269.83,1122.4343,95625.96,399.39777,8.959746,7.4951764e-05,1.0324615e-05,6.214432e-05,0.00018581205,16679.361,,,0.03118975,1952.4467
27,2018-07-25,-0.9129542,0.64258605,72052.55,2699.1616,81454.08,1700.8848,25.429708,7.592453e-05,1.6201784e-05,6.236103e-05,0.00018983707,16681.703,,,0.029121256,1998.0983
28,2018-07-26,-1.5020057,0.30156055,82433.75,1653.2853,90481.65,903.2357,6.889603,8.970212e-05,2.2799724e-05,6.44512e-05,0.00016877407,16685.484,,,0.029248811,2125.6956
29,2018-07-27,-0.7520565,0.5792674,58591.22,4492.7295,66436.47,3494.0032,19.674904,8.013719e-05,2.2112788e-05,6.336103e-05,0.00020578656,16685.203,,,0.031675898,2745.001
30,2018-07-28,-0.92632,0.25595272,85791.3,1337.4371,93490.016,657.9341,14.174714,8.042006e-05,2.0219773e-05,6.4407504e-05,0.00020578233,16681.71,,,0.031029105,2549.9458
31,2018-07-29,-1.4252758,0.1923593,68287.11,3646.925,74894.82,2880.9688,8.232666,7.991245e-05,1.852796e-05,6.329021e-05,0.00019033888,16684.984,,,0.028251544,2383.729
32,2018-07-30,-1.3808575,0.8662421,44023.016,6947.558,50415.746,5926.655,23.77805,7.996052e-05,9.8023465e-06,6.2179766e-05,0.00018603567,16689.21,,,,
33,2018-07-31,-0.7084697,0.7588142,55198.484,4925.1157,62860.8,3908.067,18.37207,8.187831e-05,1.3834786e-05,5.974987e-05,0.00018856933,16692.521,,,,
34,2018-08-01,-1.5554055,0.0207951,91900.95,811.0517,98495.28,224.69594,4.8538938,9.363197e-05,3.4767403e-05,5.886457e-05,0.00017014162,16692.633,,,0.027664393,1302.6394
35,2018-08-02,-1.2592771,0.13785908,88843.125,1065.2109,96519.2,388.5531,5.824397,8.405181e-05,2.4587298e-05,5.828396e-05,0.00019824592,16692.115,,,0.0285999,1607.1494
36,2018-08-03,-1.4420438,0.18963562,82589.21,1724.6122,90645.35,990.90424,6.2575455,8.560979e-05,2.6416199e-05,5.9123828e-05,0.00019368435,16688.05,,,0.028488657,2559.3801
37,2018-08-04,-0.96067774,0.04370532,97728.29,253.73666,99368.88,159.92487,4.8379045,8.002482e-05,2.1175128e-05,5.8849688e-05,0.00019001501,14416.609,,,0.027149562,1838.3761
