time,tp,t2m
2017-11-01,5.425942,8.455841
2017-11-02,10.262314,8.648529
2017-11-03,0.63583946,7.629486
2017-11-04,0.26477337,6.4188538
2017-11-05,0.0016634613,6.3045044
2017-11-06,0.01944387,8.463684
2017-11-07,0.031998932,6.9598694
2017-11-08,0.20890364,5.0928345
2017-11-09,0.7782631,6.053406
2017-11-10,1.555228,6.7633667
2017-11-11,5.525668,2.316925
2017-11-12,0.33227324,3.0878296
2017-11-13,3.271628,1.3015137
2017-11-14,0.27454057,1.9810181
2017-11-15,1.0912842,5.819977
2017-11-16,0.27175093,3.889618
2017-11-17,1.0642462,4.240631
2017-11-18,0.4657364,2.5734253
2017-11-19,4.5381904,2.6830444
2017-11-20,1.2533591,-2.3052063
2017-11-21,0.6621428,0.63830566
2017-11-22,0.2650664,-1.167572
2017-11-23,0.45503998,3.731598
2017-11-24,0.07481289,5.8349915
2017-11-25,1.4648027,5.790924
2017-11-26,1.3667638,0.7730408
2017-11-27,0.06533718,2.131073
2017-11-28,0.14215794,0.12585449
2017-11-29,1.1463842,1.6123047
2017-11-30,7.4990315,2.1984253
2017-12-01,3.0899992,3.2387695
2017-12-01,3.0899992,3.2387695
2017-12-02,0.16402572,1.2810364
2017-12-03,0.025292397,-3.030365
2017-12-04,2.2213414,0.9952698
2017-12-05,1.4273115,3.512207
2017-12-06,1.3883917,-1.9229431
2017-12-07,9.849004,3.0422363
2017-12-08,0.71738654,3.8996887
2017-12-09,0.11999035,-0.6059265
2017-12-10,0.2650051,-1.9723511
2017-12-11,0.6951977,1.491394
2017-12-12,0.73019975,4.0322266
2017-12-13,0.0034441948,-2.5134888
2017-12-14,2.0368078,2.5226135
2017-12-15,5.095457,1.0349121
2017-12-16,0.36674023,-0.75009155
2017-12-17,0.18327093,-1.1098328
2017-12-18,0.13955717,-1.3512878
2017-12-19,0.31924087,-0.18978882
2017-12-20,0.14240834,-3.4118347
2017-12-21,6.431057,1.09552
2017-12-22,1.3866186,0.1980896
2017-12-23,4.128149,5.9742737
2017-12-24,6.3638897,3.4139404
2017-12-25,5.438838,6.257141
2017-12-26,0.31426233,1.0192566
2017-12-27,0.08582166,2.5618896
2017-12-28,0.0,3.3728027
2017-12-29,5.8627834,1.2373657
2017-12-30,0.24296284,-1.2181702
2017-12-31,0.35684136,2.191101
2018-01-01,6.747145,5.4503174
2018-01-02,0.0051077604,2.5975037
2018-01-03,0.3543275,2.8278809
2018-01-04,1.1701139,4.724182
2018-01-05,3.2911544,4.755554
2018-01-06,1.8210481,4.0427856
2018-01-07,1.9008307,-2.9229736
2018-01-08,0.20511883,-2.5420837
2018-01-09,0.16388439,-3.7818909
2018-01-10,0.0076293945,-4.677948
2018-01-11,0.04743983,-1.5841675
2018-01-12,0.09562035,-4.509369
2018-01-13,0.0,-8.847168
2018-01-14,0.011073753,-8.716827
2018-01-15,0.006738946,-8.453857
2018-01-16,0.06150484,-8.138916
2018-01-17,5.356395,-3.2319946
2018-01-18,0.52066845,-1.1610718
2018-01-19,3.6810226,-1.6238708
2018-01-20,2.9875574,-3.5151062
2018-01-21,0.22739828,-5.319092
2018-01-22,0.042214394,-8.9122925
2018-01-23,0.12526175,-9.463287
2018-01-24,1.3038334,2.4780884
2018-01-25,0.05726707,2.3840027
2018-01-26,1.7477026,-0.6262512
2018-01-27,1.122562,1.310791
2018-01-28,7.0750046,4.337494
2018-01-29,6.7341647,4.8424683
2018-01-30,2.431707,-0.23062134
2018-01-31,0.39218372,1.3944702
2018-02-01,10.010326,1.9519043
2018-02-02,6.8899956,-0.98757935
2018-02-03,0.11393513,-2.6871948
2018-02-04,0.25405675,-7.6010437
2018-02-05,1.6578233,-9.340363
2018-02-06,1.4975471,-5.9008484
2018-02-07,0.0041849613,-10.283905
2018-02-08,1.0107746,-2.615448
2018-02-09,0.32922912,-3.2850342
2018-02-10,3.5133767,-5.5162354
2018-02-11,0.20836927,-4.008362
2018-02-12,0.229469,-1.9656982
2018-02-13,0.96223736,-3.1447754
2018-02-14,0.66086966,-8.023163
2018-02-15,0.11346538,-8.214996
2018-02-16,1.9091465,-2.453125
2018-02-17,3.5407195,-3.7152405
2018-02-18,1.1834196,-3.432251
2018-02-19,0.85355407,-4.9811096
2018-02-20,1.5202876,-4.9040527
2018-02-21,1.2427641,-11.1371155
2018-02-22,0.0076293945,-19.061127
2018-02-23,0.2007038,-14.516449
2018-02-24,0.04847997,-14.3515625
2018-02-25,0.25904715,-18.919586
2018-02-26,0.32654408,-20.24878
2018-02-27,0.29895073,-16.225128
2018-02-28,0.6126263,-14.550598
2018-03-01,4.377418,-8.673859
2018-03-02,0.63240933,-13.522491
2018-03-03,2.627201,-9.2118225
2018-03-01,4.377418,-8.673859
2018-03-02,0.63240933,-13.522491
2018-03-03,2.627201,-9.2118225
2018-03-04,0.021847963,-13.933075
2018-03-05,0.0,-7.811798
2018-03-06,0.0,-6.11734
2018-03-07,3.0031126,-2.2645874
2018-03-08,2.0730095,1.5074768
2018-03-09,3.391346,1.0027771
2018-03-10,0.23279601,-0.21652222
2018-03-11,1.5425547,2.8709717
2018-03-12,0.15713729,5.747589
2018-03-13,0.038887978,5.167206
2018-03-14,0.07339612,-1.8703308
2018-03-15,0.055927336,-4.9624634
2018-03-16,0.05278249,-7.828003
2018-03-17,0.0076293945,-7.031311
2018-03-18,0.0,-5.348236
2018-03-19,0.0,-3.6159363
2018-03-20,0.08255172,-2.772583
2018-03-21,0.2614189,-2.0934143
2018-03-22,1.1120628,-0.63479614
2018-03-23,0.6775724,-4.674103
2018-03-24,0.0,-1.3605347
2018-03-25,0.0,2.6601562
2018-03-26,1.0543793,0.8077698
2018-03-27,0.33066687,-5.8975525
2018-03-28,0.022770762,-4.4649963
2018-03-29,2.0729518,-0.53878784
2018-03-30,3.464299,-0.7739868
2018-03-31,0.5435505,3.0204773
2018-04-01,10.170258,4.596588
2018-04-02,7.169083,0.5692749
2018-04-03,3.3594055,7.609894
2018-04-04,0.0016634464,10.880829
2018-04-05,3.9181356,8.024963
2018-04-06,0.8715723,1.9397278
2018-04-07,0.0,4.5641174
2018-04-08,0.0,10.248047
2018-04-09,7.7118654,12.124023
2018-04-10,0.032116413,4.674713
2018-04-11,0.0,4.145294
2018-04-12,0.30899334,6.6625977
2018-04-13,0.0,7.3936462
2018-04-14,0.84950733,10.434662
2018-04-15,0.047290087,10.319611
2018-04-16,4.273238,14.1510315
2018-04-17,2.8431163,6.1203613
2018-04-18,0.46752813,8.864624
2018-04-19,0.02594781,5.296692
2018-04-20,0.0,11.508484
2018-04-21,0.2365737,6.5925293
2018-04-22,0.14865816,3.7055664
2018-04-23,3.8707626,9.445374
2018-04-24,1.3834009,11.193298
2018-04-25,7.2233906,10.438416
2018-04-26,3.01993,4.9643555
2018-04-27,2.8436444,4.8727417
2018-04-28,0.6360898,8.297699
2018-04-29,0.0,12.521088
2018-04-30,1.5220547,16.190765
2018-05-01,10.139702,15.582703
2018-05-01,10.139702,15.582703
2018-05-02,0.0,9.864838
2018-05-03,0.0,16.394531
2018-05-04,0.11304855,9.820648
2018-05-05,1.1248919,7.9334106
2018-05-06,0.0,9.305389
2018-05-07,0.0,9.325012
2018-05-08,0.0,12.920105
2018-05-09,0.0,15.171417
2018-05-10,0.0,12.72934
2018-05-11,0.0,11.441223
2018-05-12,0.0,13.249481
2018-05-13,0.0016634464,11.943848
2018-05-14,0.058796406,15.468903
2018-05-15,2.9514372,11.581909
2018-05-16,2.9831858,15.4496155
2018-05-17,6.694548,11.792664
2018-05-18,5.808742,13.216278
2018-05-19,1.3165226,9.805237
2018-05-20,0.0,10.402222
2018-05-21,0.5063901,13.209869
2018-05-22,1.367276,13.029175
2018-05-23,7.4436216,12.037506
2018-05-24,0.34540176,14.324524
2018-05-25,0.8718147,15.647888
2018-05-26,0.0,15.2447815
2018-05-27,0.0,13.890747
2018-05-28,0.0,16.95874
2018-05-29,0.0,19.222626
2018-05-30,0.0,17.641083
2018-05-31,0.0,13.687592
2018-06-01,0.0,16.01242
2018-06-02,2.9033413,16.398926
2018-06-03,0.17331862,17.059784
2018-06-04,0.14863014,15.146759
2018-06-05,0.19672012,8.034424
2018-06-06,0.1292057,8.987366
2018-06-07,0.15336895,12.263824
2018-06-08,0.0,13.904297
2018-06-09,0.0033269227,12.940063
2018-06-10,0.0,17.065094
2018-06-11,1.1199805,16.59018
2018-06-12,0.010215759,13.796326
2018-06-13,0.0,17.57489
2018-06-14,1.1739302,13.972168
2018-06-15,0.03182888,16.139862
2018-06-16,0.20436382,13.168274
2018-06-17,0.005965933,19.338074
2018-06-18,0.23961091,18.001862
2018-06-19,0.19117613,16.08786
2018-06-20,0.25415042,15.457275
2018-06-21,7.366262,16.827301
2018-06-22,0.048779618,11.5121765
2018-06-23,0.2752045,13.220215
2018-06-24,10.481302,10.111267
